formula,Crystallinity,Temperature (K),log Resistivity,Power factor (W*m/K^2),ZT,Thermal conductivity (W/(m*K)),Seebeck coefficient (uV/K)
Zr$_{0.5}$Hf$_{0.5}$NiSn$_{1.998}$Sb$_{0.002}$,polycrystalline,400.0003629,-2.663940722,3.64E-03,0.537,2.712932995,-281
In$_{1.8}$Ge$_{0.2}$O$_{3}$,polycrystalline,1000.000478,-2.573412297,4.53E-04,0.277913956,1.63073,-110.012
CaMn$_{0.98}$Nb$_{0.02}$O$_{3}$,polycrystalline,300.0004952,-1.698970004,1.62E-04,0.01944,2.5,-180
Ca$_{4.95}$Na$_{0.05}$Al$_{2}$Sb$_{6}$,polycrystalline,300.000598,-1.478861916,1.12E-04,0.022589755,1.49,193
Cu$_{2}$Se,polycrystalline,400.0006214,-2.793174124,7.11E-04,0.273506928,1.04,107
Mg$_{2}$Si,polycrystalline,700.0006931,-2.384576047,1.94E-03,0.444343225,3.05,-282.6
In$_{0.25}$Co$_{4}$Sb$_{12}$,polycrystalline,300.0004714,-2.943297104,4.14E-03,0.485042171,2.55853,-217.11
Ba$_{8}$Au$_{5.59}$Si$_{39.01}$,polycrystalline,400.0002042,-2.596879479,6.33E-04,0.15617284,1.62,126.5
Nd$_{2}$Cu$_{0.98}$Zn$_{0.02}$O$_{4}$,polycrystalline,700.0009412,-1.11739123,4.04E-05,0.005420334,5.22,-175.63
Fe$_{0.978}$Co$_{0.00196}$Si$_{1.96}$Y$_{0.04}$O$_{0.06}$,polycrystalline,1000.000682,-1.913640169,8.33E-05,0.019782407,4.21,-100.8
CaGd$_{0.94}$Mn$_{0.06}$O$_{3}$,polycrystalline,700.0008232,-2.062491737,2.42E-04,0.079142343,2.1394,-144.73
Na$_{0.02}$PbTe$_{0.75}$Se$_{0.25}$,polycrystalline,400.0007896,-3.16057915,1.17E-03,0.216602878,2.15357,89.76
Mo$_{6}$Te$_{6}$S$_{2}$,polycrystalline,300.00076,-3.067019178,4.63E-06,0.000654096,2.12496,6.30124
Mg$_{2}$Si,polycrystalline,300.000419,-2.78968148,4.88E-04,0.032536455,4.5,-89
Ba$_{0.3}$Sr$_{0.6}$La$_{0.1}$TiO$_{3}$,polycrystalline,300.0006529,-3.306536873,1.37E-03,0.10088053,4.07,-82.2
In$_{1.985}$Ge$_{0.015}$O$_{3}$,polycrystalline,300.0005376,-3.140873116,3.02E-04,0.009632278,9.41949,-46.7607
Pb$_{0.96}$Sr$_{0.4}$TeNa$_{0.2}$,polycrystalline,1000.000238,-2.50105928,2.23E-03,2.27E+00,9.80E-01,265
Ca$_{3}$AlSb$_{3}$,polycrystalline,400.0008393,-0.26954074,1.86E-05,0.006750055,1.1,315.9
Fe$_{1.96}$Ti$_{0.04}$O$_{3}$,polycrystalline,1000.0007,-1.142067066,1.50E-04,0.04224856,3.54,-328.38
SrTi$_{0.8}$Nb$_{0.2}$O$_{3}$,polycrystalline,700.000707,-2.767155792,7.08E-04,0.100710366,4.92,-110
Cr$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,400.0005723,-3.258121507,1.33E-04,0.025225214,2.1055,27.071
La$_{0.95}$Sr$_{0.05}$CoO$_{3}$,polycrystalline,300.000192,-1.797000013,2.89E-04,0.048140749,1.8,214.7
Mg$_{2}$Si$_{0.98}$Ag$_{0.02}$,polycrystalline,700.0007557,-1.401209493,5.59E-05,0.010666305,3.67,149
Tl$_{0.01}$Pb$_{0.99}$Te,polycrystalline,400.0006638,-2.450328635,1.14E-03,0.295085853,1.55169,201.46
LaFe$_{3}$CoSb$_{12}$,polycrystalline,300.0009809,-2.784346577,7.15E-04,0.134070829,1.6,108.391
Zr$_{0.15}$Hf$_{0.15}$Ti$_{0.7}$NiSn,polycrystalline,300.0008603,-2.317439788,1.32E-03,0.116775879,3.394,-252.204
Zn$_{0.99}$Al$_{0.01}$O,polycrystalline,1000.000516,-2.33999999,6.11E-04,0.074061501,8.25,-167.118
SrNd$_{0.24}$Ti$_{0.76}$O$_{3}$,polycrystalline,300.000511,-2.648360013,2.27E-05,0.001140242,5.98,-22.6
CuRh$_{0.9}$Mg$_{0.1}$O$_{2}$,polycrystalline,700.000132,-2.406604265,1.05E-03,0.073515711,10.0099,203.027
CuCr$_{0.97}$Mg$_{0.03}$O$_{2}$,polycrystalline,700.0008901,-1.314049671,1.73E-04,0.021350298,5.6659,289.576
Fe$_{0.978}$Co$_{0.00196}$Si$_{1.96}$Y$_{0.12}$O$_{0.18}$,polycrystalline,300.000002,-0.568636236,1.89E-05,0.001984305,2.86,-226
Ca$_{2.85}$Na$_{0.15}$AlSb$_{3}$,polycrystalline,700.0003253,-1.913640169,3.79E-04,0.315744536,0.84,215
NaCo$_{2}$O$_{4}$,single crystal,400.0000516,-3.450996738,2.71E-03,0.080229444,13.53,98
Tl$_{2}$Cu$_{2}$SnTe$_{4}$,polycrystalline,300.0003026,2.113943352,9.16E-08,7.29E-05,0.377,345
Ca$_{0.9}$Yb$_{0.1}$MnO$_{3}$,polycrystalline,400.0007027,-2.391837814,2.01E-04,0.049042114,1.63871,-90.28
Pb$_{1.8}$S$_{1.8}$Ti$_{2}$S$_{4}$,polycrystalline,300.0000431,-3.337242168,5.61E-04,0.058035382,2.9,-50.8
Ca$_{0.9}$Y$_{0.1}$MnO$_{3}$,polycrystalline,700.0005305,-2.228006339,2.15E-04,0.094031,1.600767692,-112.78
Sr$_{3}$Ti$_{1.6}$Nb$_{0.4}$O$_{7}$,polycrystalline,1000.00037,-2.10720997,3.20E-04,0.149317383,2.14,-158
Ca$_{3}$AlSb$_{3}$,polycrystalline,300.0008811,0.078819183,2.27E-06,0.000469788,1.45,165
Mg$_{2}$Si$_{0.98}$Ag$_{0.02}$,polycrystalline,1000.000821,-2.180456064,5.59E-04,0.176754891,3.16,192
Fe$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,1000.000415,-3.083039933,3.52E-04,0.103044764,3.4165,53.9242
Ba$_{7}$SrAl$_{16}$Si$_{30}$,polycrystalline,1000.000216,-2.951830201,5.59E-04,0.217595686,2.57,-79.05
SrTi$_{0.8}$Nb$_{0.2}$O$_{3}$,polycrystalline,400.0008337,-2.342840943,1.30E-04,0.006089889,8.57,-76.9741
KBi$_{6.33}$S$_{10}$,polycrystalline,300.0007255,-0.782516056,3.79E-07,8.74E-05,1.3,-25
CeFe$_{4}$Sb$_{12}$,polycrystalline,700.0005228,-3.052566278,1.82E-03,0.748267895,1.703,127
Mg$_{2}$Si$_{0.6}$Ge$_{0.4}$Bi$_{0.02}$,polycrystalline,400.0007834,-2.896196279,1.09E-03,0.165970427,2.62,-117.5
Ba$_{8}$Au$_{6.10}$Si$_{38.97}$,polycrystalline,300.0006024,-3.209714836,3.47E-04,0.047688674,2.18,46.24
Ti$_{0.95}$Nb$_{0.05}$NiSn,polycrystalline,1000.000031,-3.139180044,2.80E-03,0.509801867,5.4917,-142.549
In$_{1.998}$Ge$_{0.002}$O$_{3}$,polycrystalline,300.0002182,-2.676587003,3.73E-04,0.012204602,9.1565,-88.5671
Mg$_{2}$Si,polycrystalline,400.0008857,-2.70421306,1.81E-03,0.180774291,4,-189
Mg$_{1.95}$Ca$_{0.05}$Si,polycrystalline,400.0001321,-2.93930216,7.81E-04,0.063794428,4.9,-94.8
Ag$_{0.15}$Sb$_{0.15}$Te$_{1.15}$Ge$_{0.85}$,single crystal,400.0006254,-3.070655166,1.76E-03,0.458771734,1.53108,122.16
Mg$_{2}$Si$_{0.98}$Ag$_{0.02}$,polycrystalline,400.000179,-0.384049948,7.67E-06,0.000506381,6.06,178
NbCo$_{1.05}$Sn,single crystal,300.0006605,-2.8619785,1.94E-03,0.084685557,6.88672,-163.441
ZrNi$_{0.76}$Co$_{0.004}$Cu$_{0.2}$Sn,polycrystalline,300.0008786,-2.057495894,1.03E-04,0.005134142,6.02,-95
TiNiSn,polycrystalline,400.0002067,-2.076086761,1.04E-03,0.08031864,5.1951,-295.891
Zn$_{4}$Sb$_{3}$,polycrystalline,700.0009978,-2.499479487,1.12E-03,1.055896648,0.743,188.372
Mo$_{6}$Te$_{6}$S$_{2}$,polycrystalline,400.000622,-3.05207638,7.33E-06,0.001234787,2.37444,8.06322
Zr$_{0.99}$Nb$_{0.01}$NiSn,polycrystalline,700.0002619,-2.870074338,3.87E-03,0.447571084,6.0517,-228.446
In$_{0.2}$Co$_{4}$Sb$_{12}$,polycrystalline,300.0003842,-2.826207891,3.31E-03,0.400777807,2.47577,-222.15
In$_{0.05}$Co$_{4}$Sb$_{12}$,polycrystalline,400.0009476,-2.169140062,1.29E-03,0.296861717,1.73762,-295.57
ZrNi$_{1.98}$Cu$_{0.02}$Sn,polycrystalline,300.0003167,-2.978810701,1.68E-03,0.063333333,7.98,-133
Fe$_{1.96}$Sn$_{0.04}$O$_{3}$,polycrystalline,300.0009558,-0.33025748,2.84E-05,0.001246546,6.84,-364.5
Ca$_{0.98}$Bi$_{0.02}$Mn$_{0.98}$Nb$_{0.02}$O$_{3}$,polycrystalline,300.0004165,-1.691950002,4.92E-05,0.005877928,2.51281,-100.04
CaMn$_{0.98}$Nb$_{0.02}$O$_{3}$,polycrystalline,400.000154,-1.666736155,1.93E-04,0.03719487,2.07513,-203.88
Mg$_{2}$Si$_{0.98}$Bi$_{0.02}$,polycrystalline,700.0002379,-2.903089987,2.45E-03,0.476989374,3.6,-174.9
Ca$_{2.7}$Na$_{0.3}$Co$_{4}$O$_{9}$,polycrystalline,400.0007986,-2.276216063,2.98E-04,0.06273382,1.9,125.6
La$_{2.74}$Te$_{4}$,polycrystalline,1000.000675,-2.194499142,7.23E-04,0.810073831,0.893,-215
Tl$_{2}$GeTe$_{5}$,polycrystalline,300.0006078,-1.635636645,3.51E-04,0.011610217,9.07,285
Sr$_{4.5}$Nb$_{4.5}$O$_{15.5}$,single crystal,300.0000901,-2.943095149,3.17E-05,0.003877551,2.45,-19
Tl$_{2}$SnTe$_{5}$,polycrystalline,300.0005933,-2.37675071,1.14E-03,0.067304238,5.09,219
SrTi$_{0.8}$Nb$_{0.2}$O$_{3}$,polycrystalline,700.0003857,-2.335854927,3.24E-04,0.036960421,6.14,-122.314
CaGd$_{0.94}$Mn$_{0.06}$O$_{3}$,polycrystalline,400.0004541,-1.944952256,1.24E-04,0.019260696,2.5699,-118.52
Mg$_{2}$Si$_{0.98}$Bi$_{0.02}$,polycrystalline,300.0001726,-2.818156412,4.52E-04,0.019023797,7.13,-82.9
CuCr$_{0.96}$Mg$_{0.04}$O$_{2}$,polycrystalline,700.0007749,-1.328822527,1.56E-04,0.013673064,7.9727,270.256
Zr$_{0.25}$Hf$_{0.25}$Ti$_{0.5}$NiSn,polycrystalline,700.0006415,-2.786942015,6.60E-03,1.419170654,3.254,-328.251
Sr$_{2}$Ti$_{0.8}$Nb$_{0.2}$O$_{4}$,polycrystalline,300.0002739,-2.322219273,6.03E-05,0.004141796,4.37,-53.6
Mg$_{2}$Si,polycrystalline,400.000363,-2.761953897,2.43E-03,0.157996146,6.15,-205
SrNd$_{0.17}$Ti$_{0.83}$O$_{3}$,polycrystalline,700.0003416,-2.644044554,4.06E-04,0.073446995,3.87,-96
Nd$_{2}$Cu$_{0.98}$Ni$_{0.02}$O$_{4}$,polycrystalline,300.0007742,-1.226087087,1.05E-04,0.003200812,9.811,-249.39
Bi$_{1.2}$S$_{1.2}$Ti$_{2}$S$_{4}$,polycrystalline,400.0006184,-3.301899454,6.03E-04,0.100068103,2.41,-54.85
Ba$_{8}$Au$_{5.14}$Si$_{39.51}$,polycrystalline,400.0005949,-2.465973894,4.08E-04,0.101322945,1.61,-118.1
Yb$_{14}$MnSb$_{11}$,single crystal,1000.000496,-2.339213233,5.88E-04,0.822909213,0.715,164.143
Sr$_{0.9}$Y$_{0.1}$TiO$_{3}$,polycrystalline,300.0009164,-3.056505484,9.75E-04,0.041764969,7,-92.5
CuCrO$_{2}$,polycrystalline,700.0004178,0.532512329,1.18E-05,0.001689722,4.8843,633.893
Ca$_{0.9}$Tb$_{0.1}$MnO$_{3}$,polycrystalline,700.000126,-2.080020244,1.87E-04,0.0829136,1.574660559,-124.55
ZrNiSn,polycrystalline,700.0008776,-2.553250553,2.90E-03,0.338827093,5.9849,-284.671
In$_{1.8}$Ge$_{0.2}$O$_{3}$,polycrystalline,300.0002254,-2.541667397,9.53E-05,0.008831211,3.23848,-52.3343
Ba$_{8}$Ga$_{16}$Ge$_{30}$,polycrystalline,400.0009869,-3.045757491,4.29E-04,0.120934761,1.42,-62.16
Na$_{0.02}$PbTe$_{0.85}$Se$_{0.15}$,polycrystalline,700.0006178,-2.794311251,2.72E-03,1.502553777,1.26786,209.05
Mg$_{2}$Si$_{0.9985}$Bi$_{0.0015}$,polycrystalline,700.0003348,-2.802719442,2.99E-03,0.636122931,3.29,-217
Ba$_{8}$Ga$_{18}$Ge$_{28}$,polycrystalline,1000.000664,-2.133712661,9.63E-04,0.962666667,1,-266
WO$_{2.9}$,polycrystalline,1000.000669,-2.930953826,3.77E-04,0.104674177,3.601,-66.47
Ca$_{2.94}$Na$_{0.06}$AlSb$_{3}$,polycrystalline,700.0008186,-1.860120914,3.93E-04,0.320208123,0.86,233
Ba$_{0.6}$Sr$_{0.4}$PbO$_{3}$,polycrystalline,400.0004969,-2.895499232,2.07E-04,0.035093259,2.36416,-51.37
Ca$_{2.7}$Bi$_{0.3}$Co$_{4}$O$_{9}$,polycrystalline,300.000175,-1.98505965,1.77E-04,0.026569797,2,135.4
La$_{3}$Te$_{3.35}$Bi$_{0.65}$,polycrystalline,400.0009382,-2.271646218,9.03E-05,0.019734436,1.83,-69.5
Fe$_{1.96}$Ti$_{0.04}$O$_{3}$,polycrystalline,300.0003232,-0.424353959,3.57E-05,0.001368757,7.82,-366.46
Zr$_{0.5}$Hf$_{0.5}$NiSn,polycrystalline,700.0004398,-2.664209234,2.57E-03,0.549896257,3.274,-236.062
CuCr$_{0.97}$Mg$_{0.03}$O$_{2}$,polycrystalline,300.0005942,-0.992529611,3.89E-05,0.001636395,7.1396,199.047
Tl$_{0.01}$Pb$_{0.99}$Te,polycrystalline,700.0005114,-2.059121588,1.20E-03,0.871875767,0.965347,323.94
NaCo$_{2}$O$_{4}$,polycrystalline,700.0007105,-2.468521083,7.62E-04,0.254977376,2.093,161
Ba$_{7}$SrAl$_{16}$Si$_{30}$,polycrystalline,300.0001465,-3.230446185,1.20E-04,0.015529759,2.31,-26.52
Zn$_{0.98}$Al$_{0.02}$O,polycrystalline,1000.000982,-2.739999966,1.68E-03,0.212496077,7.92,-175
Na$_{0.02}$PbTe$_{0.75}$Se$_{0.25}$,polycrystalline,1000.000536,-2.702756136,1.96E-03,1.636067789,1.19643,197
Ca$_{0.9}$Tb$_{0.1}$MnO$_{3}$,polycrystalline,700.0006262,-1.814452179,1.00E-04,0.039875867,1.75635,-123.85
Zr$_{0.99}$Nb$_{0.01}$NiSn,polycrystalline,400.0006099,-2.906456799,2.88E-03,0.140320851,8.2117,-189.025
Zr$_{0.15}$Hf$_{0.15}$Ti$_{0.7}$NiSn,polycrystalline,700.0008641,-2.8294772,4.58E-03,1.016372274,3.157,-260.541
SrDy$_{0.08}$Ti$_{0.92}$O$_{3}$,polycrystalline,300.0007257,-2.017033322,2.57E-05,0.001837111,4.195,-49.7
SrTi$_{0.8}$Nb$_{0.2}$O$_{3}$,polycrystalline,300.0002287,-2.838219165,1.87E-04,0.005392806,10.42,-52.14
CuCr$_{0.98}$Mg$_{0.02}$O$_{2}$,polycrystalline,400.0000876,-0.244722901,1.94E-05,0.001155855,6.7086,332.182
In$_{1.9}$Ge$_{0.1}$O$_{3}$,polycrystalline,700.0001642,-2.761903692,5.02E-04,0.108354634,3.24419,-93.2129
La$_{3}$Te$_{3.65}$Sb$_{0.35}$,polycrystalline,400.0008639,-2.863279433,2.46E-04,0.047679116,2.06,-58
Mo$_{6}$Te$_{7}$S,polycrystalline,300.0008144,-3.115204636,1.46E-06,0.000158231,2.77301,3.34933
ZrNiSn$_{0.98}$Sb$_{0.02}$,polycrystalline,400.0007791,-3.20481541,3.01E-03,0.151338494,7.95,-137
Ca$_{0.9}$Ho$_{0.1}$MnO$_{3}$,polycrystalline,1000.000255,-1.936306442,1.13E-04,0.0770762,1.470944215,-114.58
NbCo$_{1.10}$Sn,single crystal,1000.00068,-2.615535472,1.64E-03,0.242232068,6.77258,-199.4
CaMnO$_{3}$,polycrystalline,400.0004407,0.466137,1.03E-05,0.001247231,3.30607,-549.12
CaYb$_{0.15}$Mn$_{0.85}$O$_{3}$,polycrystalline,300.0006039,-2.473473344,4.35E-05,0.007932122,1.64488,-38.2353
Ca$_{3}$Co$_{4}$O$_{9}$,polycrystalline,300.0000028,-1.971835581,1.28E-04,0.019244142,2,117
In$_{0.2}$Co$_{4}$Sb$_{12}$,polycrystalline,700.0009765,-2.668497797,3.70E-03,1.334133877,1.9414,-281.75
Cu$_{1.98}$Se,polycrystalline,700.0007521,-2.821023053,1.10E-03,0.532025577,1.45,129
Ca$_{0.9}$Ho$_{0.1}$MnO$_{3}$,polycrystalline,700.0000443,-2.008272559,1.56E-04,0.050077248,2.18525,-123.85
Na$_{0.02}$PbTe$_{0.85}$Se$_{0.15}$,polycrystalline,1000.000348,-2.687283285,2.03E-03,1.703161584,1.18929,204
Ba$_{8}$Ga$_{16}$Ge$_{30}$,polycrystalline,400.0007693,-2.515842576,1.12E-03,0.224499836,2,185
La$_{3}$Te$_{3.8}$Sb$_{0.2}$,polycrystalline,700.0003042,-3.095825632,5.70E-04,0.146638551,2.72,-67.6
SrNd$_{0.2}$Ti$_{0.8}$O$_{3}$,polycrystalline,400.0009998,-2.831229769,1.37E-04,0.011319708,4.83,-44.9
Nd$_{2}$Cu$_{0.98}$Zn$_{0.02}$O$_{4}$,polycrystalline,1000.000993,-1.430435324,1.09E-05,0.003009932,3.63,-63.68
CaMn$_{0.96}$Ru$_{0.04}$O$_{3}$,polycrystalline,1000.000111,-1.896257837,1.84E-04,0.063883122,2.88165,-152.89
Sr$_{0.61}$Ba$_{0.39}$Nb$_{2}$O$_{6}$,polycrystalline,400.0006009,-1.789792168,2.98E-04,0.059052551,2.0205,-220
Ba$_{8}$Ga$_{16}$Ge$_{30}$,single crystal,400.0003617,-3.101823517,7.11E-04,0.15891065,1.79,-75
In$_{0.2}$Co$_{4}$Sb$_{12}$,polycrystalline,400.0000975,-2.890195422,3.57E-03,0.644976838,2.21377,-214.39
Ba$_{8}$Ga$_{16}$Ge$_{30}$,single crystal,300.0003987,-3.179142011,3.78E-04,0.05839848,1.94,-50
SrNd$_{0.17}$Ti$_{0.83}$O$_{3}$,polycrystalline,400.0008041,-2.71516742,9.24E-05,0.006910325,5.35,-42.2
CuRh$_{0.9}$Mg$_{0.1}$O$_{2}$,polycrystalline,400.0007888,-2.568494711,8.67E-04,0.035498382,9.76717,153.007
Mg$_{1.95}$Ca$_{0.05}$Si,polycrystalline,300.0002182,-2.984221244,5.40E-04,0.028903981,5.6,-74.8
Tl$_{9}$BiTe$_{6}$,polycrystalline,400.0001349,-1.951946827,1.02E-03,0.999677445,0.409,337.9
Sr$_{0.61}$Ba$_{0.39}$Nb$_{2}$O$_{6}$,polycrystalline,700.0004353,-2.096910013,5.83E-04,0.187981765,2.1717,-216
Ca$_{2.7}$Na$_{0.3}$Co$_{4}$O$_{9}$,polycrystalline,300.0002917,-2.089909454,1.68E-04,0.025256458,2,117
Sr$_{0.9}$La$_{0.1}$TiO$_{3}$,polycrystalline,300.0008436,-2.582658698,3.64E-04,0.018590979,5.88,-97.6
Zn$_{4}$Sb$_{3}$,polycrystalline,300.0005337,-2.662832363,8.50E-04,0.325550215,0.783,135.898
NaCo$_{2}$O$_{4}$,single crystal,1000.000269,-3.22184875,6.67E-03,1.399413646,4.7639,200
WO$_{2.722}$,polycrystalline,300.0009476,-4.189904649,1.03E-03,0.037628248,8.177,-25.74
CuCr$_{0.99}$Mg$_{0.01}$O$_{2}$,polycrystalline,300.0007866,0.786188319,4.51E-06,0.000194341,6.9663,525.19
Ba$_{7}$SrAl$_{16}$Si$_{30}$,polycrystalline,400.0002698,-3.180238314,1.72E-04,0.029608249,2.33,-33.75
CuCr$_{0.99}$Mg$_{0.01}$O$_{2}$,polycrystalline,400.0007358,0.244947224,1.13E-05,0.000702824,6.4029,444.688
Zr$_{0.4}$Hf$_{0.4}$Ti$_{0.2}$NiSn,polycrystalline,300.0007743,-2.043679785,3.94E-04,0.030958179,3.814,-188.659
Ca$_{2.7}$Bi$_{0.3}$Co$_{4}$O$_{9}$,polycrystalline,400.0009679,-1.993277308,1.95E-04,0.041095002,1.9,140.8
Ca$_{2.85}$Na$_{0.15}$AlSb$_{3}$,polycrystalline,400.0001749,-1.728158393,1.24E-04,0.039855097,1.24,152
CaMnO$_{3}$,polycrystalline,1000.000479,-1.073657553,9.44E-05,0.0457147,2.06537,-282.213
Cu$_{4.0}$Mo$_{6}$S$_{8}$,polycrystalline,300.0005027,-3.080017111,2.75E-04,0.061143091,1.3479,47.8006
Mg$_{2}$Si$_{0.995}$Bi$_{0.005}$,polycrystalline,400.0007908,-3.402304814,1.76E-03,0.130178868,5.41,-83.5
Ca$_{4.75}$Na$_{0.25}$Al$_{2}$Sb$_{6}$,polycrystalline,400.000781,-2.2644011,4.76E-04,0.164306542,1.16,161
Fe$_{0.998}$Co$_{0.002}$Si$_{2}$,polycrystalline,300.0008709,-1.32330639,7.68E-05,0.00404932,5.69,-191
Ca$_{0.9}$Tb$_{0.1}$MnO$_{3}$,polycrystalline,300.0004899,-2.239354395,9.76E-05,0.01972878,1.48358962,-74.98
Mg$_{2}$Si$_{0.993}$Bi$_{0.007}$,polycrystalline,400.0008198,-3.458420756,1.78E-03,0.125019427,5.68,-78.6
Zn$_{4}$Sb$_{3}$,polycrystalline,300.0007746,-2.636592995,6.46E-04,0.251703686,0.77,122.133
Ca$_{2}$Co$_{2}$O$_{5}$,single crystal,1000.000117,-2.860605832,3.12E-03,1.074714975,2.9,207.27
Zr$_{0.5}$Hf$_{0.5}$NiSn$_{1.994}$Sb$_{0.006}$,polycrystalline,300.0003696,-2.93330145,3.82E-03,0.414,2.766860566,-211
Ca$_{3}$Co$_{4}$O$_{9}$,single crystal,700.0001612,-2.635824367,1.68E-03,0.372858721,3.15,197
Ni$_{2.0}$Mo$_{6}$S$_{8}$,polycrystalline,700.0007601,-3.34033951,9.49E-05,0.015683881,4.2372,20.8232
CuCr$_{0.95}$Mg$_{0.05}$O$_{2}$,polycrystalline,400.0000285,-1.262421754,1.07E-04,0.0047257,9.0158,241.265
Li$_{0.0242}$Ni$_{0.9758}$O,polycrystalline,1000.000921,-2.411796441,1.63E-04,0.063968983,2.54979,79.49
Li$_{0.0066}$Ni$_{0.9944}$O,polycrystalline,1000.000212,-1.545484018,1.50E-04,0.02826674,5.30518,206.66
SrTi$_{0.8}$Nb$_{0.2}$O$_{3}$,polycrystalline,300.0007893,-2.335518047,8.74E-05,0.003295691,7.96,-63.5492
Si$_{0.7956}$Ge$_{0.1989}$P$_{0.0055}$,polycrystalline,300.0006794,-2.931810426,1.29E-03,0.093418564,4.13947,-122.807
CaMnO$_{3}$,polycrystalline,1000.000252,-1.078796979,1.23E-04,0.058867739,2.09242,-320.53
La$_{2.99}$Te$_{4}$,polycrystalline,700.0005915,-3.095825632,4.14E-04,0.101964806,2.84,-57.6
Ti$_{0.99}$Nb$_{0.01}$NiSn,polycrystalline,400.000563,-2.906543643,2.99E-03,0.203822375,5.8617,-192.458
CaGd$_{0.96}$Mn$_{0.04}$O$_{3}$,polycrystalline,700.0008281,-1.933053272,2.56E-04,0.13283632,1.34638,-172.65
Si$_{0.79936}$Ge$_{0.19984}$B$_{0.0008}$,polycrystalline,700.0007207,-2.660655903,2.02E-03,0.369646753,3.81657,209.823
SrDy$_{0.08}$Ti$_{0.92}$O$_{3}$,polycrystalline,1000.00029,-2.079181263,4.41E-04,0.148325495,2.97,-191.6
Mg$_{2}$Si$_{0.997}$Bi$_{0.003}$,polycrystalline,400.0009399,-3.266802735,1.89E-03,0.15845229,4.76,-101
ZrNiSn,polycrystalline,300.0005179,-1.502822999,3.98E-04,0.011778524,10.1428,-353.714
Na$_{0.02}$PbTe$_{0.75}$Se$_{0.25}$,polycrystalline,300.0001309,-3.290393422,6.75E-04,0.075096639,2.69643,58.81
Zr$_{0.98}$Nb$_{0.02}$NiSn,polycrystalline,700.0004738,-3.058513413,4.29E-03,0.465705367,6.4517,-193.681
Tl$_{2}$SnTe$_{5}$,polycrystalline,300.0000311,-2.363512104,6.14E-04,0.027271234,6.75,163
Fe$_{1.96}$Sn$_{0.04}$O$_{3}$,polycrystalline,1000.000665,-1.059040586,1.20E-04,0.038917217,3.08,-323.46
Mg$_{2}$Si$_{0.6}$Ge$_{0.4}$Ag$_{0.02}$,polycrystalline,1000.000058,-2.2644011,9.22E-04,0.265043949,3.48,224
Ba$_{8}$Ga$_{16}$Ge$_{30}$,single crystal,300.0009645,-3.180456064,2.77E-04,0.04894993,1.7,-42.79
Sr$_{2}$Ti$_{0.8}$Nb$_{0.2}$O$_{4}$,polycrystalline,400.0008115,-2.246498599,8.06E-05,0.008981679,3.59,-67.6
Zr$_{0.95}$Nb$_{0.05}$NiSn,polycrystalline,700.0003256,-3.324498449,3.53E-03,0.370509064,6.6684,-129.304
Ba$_{8}$Au$_{5.14}$Si$_{39.51}$,polycrystalline,700.000179,-2.542118103,3.36E-04,0.096098183,2.45,-98.25
SrNd$_{0.24}$Ti$_{0.76}$O$_{3}$,polycrystalline,700.0000125,-2.729974377,3.50E-04,0.06510758,3.76,-80.7
La$_{3}$Te$_{3.35}$Sb$_{0.65}$,polycrystalline,700.000908,-2.142064735,3.52E-04,0.210575803,1.17,-159.3
Fe$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,300.000078,-3.187086643,7.88E-05,0.015874132,1.4885,22.6264
Sr$_{0.147}$Ga$_{0.298}$Ge$_{0.555}$,polycrystalline,300.0009456,-2.581698709,9.05E-04,0.223320108,1.216,-154
Si$_{0.7956}$Ge$_{0.1989}$P$_{0.0055}$,polycrystalline,700.0006589,-2.711632265,2.74E-03,0.51588803,3.72337,-230.877
NaCo$_{2}$O$_{4}$,polycrystalline,1000.000021,-2.397940009,7.66E-04,0.344302289,2.2237,175
Nd$_{2}$Cu$_{0.98}$Ni$_{0.02}$O$_{4}$,polycrystalline,700.0007246,-1.665216632,4.49E-05,0.005984998,5.25,-98.5
Mg$_{1.95}$Ca$_{0.05}$Si,polycrystalline,700.000565,-2.592779107,9.17E-04,0.168840415,3.8,-153
Zr$_{0.5}$Hf$_{0.5}$NiSn$_{1.998}$Sb$_{0.002}$,polycrystalline,700.0004811,-2.811352704,6.10E-03,1.45,2.946859925,-307
Sr$_{0.61}$Ba$_{0.39}$Nb$_{2}$O$_{6}$,single crystal,700.0006948,-2.853871964,2.89E-03,0.930169913,2.1717,-201
CaYb$_{0.05}$Mn$_{0.95}$O$_{3}$,polycrystalline,400.0007491,-1.974305083,1.47E-04,0.039848239,1.47173,-124.72
Ca$_{2}$Co$_{2}$O$_{5}$,single crystal,400.000293,-2.833667591,1.38E-03,0.23521233,2.35,142.36
CeFe$_{4}$Sb$_{12}$,polycrystalline,400.0008405,-3.077793723,6.85E-04,0.174640844,1.57,75.7
Ca$_{3}$AlSb$_{3}$,polycrystalline,1000.000194,-0.948076084,6.25E-05,0.090317483,0.692,265.4
CeFe$_{3.5}$Co$_{0.5}$Sb$_{13}$,polycrystalline,400.0007649,-3.01278077,1.18E-03,0.198167011,2.38,107
Zr$_{0.35}$Hf$_{0.35}$Ti$_{0.3}$NiSn,polycrystalline,400.0002952,-2.255510651,2.59E-03,0.365565734,2.837,-379.426
